State,count
TAMIL NADU,29
UTTARAKHAND,8
DELHI,5
KARNATAKA,4
GOA,3
WEST BENGAL,1
MAHARASHTRA,1
ANDAMAN AND NICOBAR ISLANDS,0
DADRA AND NAGAR HAVELI,0
CHANDIGARH,0
DAMAN AND DIU,0
KERALA,0
JAMMU & KASHMIR,0
UTTAR PRADESH,0
MIZORAM,0
HIMACHAL PRADESH,0
NAGALAND,0
ASSAM,0
PUDUCHERRY,0
GUJARAT,0
LAKSHADWEEP,0
HARYANA,0
MANIPUR,0
RAJASTHAN,0
SIKKIM,0
JAMMU AND KASHMIR,0
ANDHRA PRADESH,0
PUNJAB,0
BIHAR,0
MEGHALAYA,0
TRIPURA,0
ARUNACHAL PRADESH,0
TELANGANA,0
CHHATTISGARH,0
JHARKHAND,0
ODISHA,0
MADHYA PRADESH,0
