State,count
DELHI,33
HARYANA,12
UTTARAKHAND,5
RAJASTHAN,4
GUJARAT,3
GOA,2
KERALA,1
PUNJAB,1
TAMIL NADU,1
JHARKHAND,1
ASSAM,0
PUDUCHERRY,0
MIZORAM,0
HIMACHAL PRADESH,0
DADRA AND NAGAR HAVELI,0
JAMMU & KASHMIR,0
DAMAN AND DIU,0
ANDAMAN AND NICOBAR ISLANDS,0
CHANDIGARH,0
UTTAR PRADESH,0
LAKSHADWEEP,0
NAGALAND,0
MANIPUR,0
SIKKIM,0
JAMMU AND KASHMIR,0
MAHARASHTRA,0
ANDHRA PRADESH,0
BIHAR,0
MEGHALAYA,0
TRIPURA,0
WEST BENGAL,0
ARUNACHAL PRADESH,0
TELANGANA,0
CHHATTISGARH,0
KARNATAKA,0
ODISHA,0
MADHYA PRADESH,0
