State,count
MAHARASHTRA,6
DELHI,6
GUJARAT,3
CHHATTISGARH,2
BIHAR,1
ODISHA,1
JHARKHAND,1
WEST BENGAL,1
PUNJAB,1
ANDHRA PRADESH,1
JAMMU & KASHMIR,0
DADRA AND NAGAR HAVELI,0
MIZORAM,0
UTTAR PRADESH,0
TAMIL NADU,0
DAMAN AND DIU,0
GOA,0
ASSAM,0
PUDUCHERRY,0
HIMACHAL PRADESH,0
ANDAMAN AND NICOBAR ISLANDS,0
KERALA,0
LAKSHADWEEP,0
CHANDIGARH,0
UTTARAKHAND,0
NAGALAND,0
HARYANA,0
MANIPUR,0
RAJASTHAN,0
SIKKIM,0
JAMMU AND KASHMIR,0
MEGHALAYA,0
TRIPURA,0
ARUNACHAL PRADESH,0
TELANGANA,0
KARNATAKA,0
MADHYA PRADESH,0
