State,count
MADHYA PRADESH,1
PUNJAB,1
RAJASTHAN,1
KERALA,1
MAHARASHTRA,1
DELHI,1
GUJARAT,1
UTTAR PRADESH,1
BIHAR,1
DAMAN AND DIU,0
JAMMU & KASHMIR,0
DADRA AND NAGAR HAVELI,0
MIZORAM,0
UTTARAKHAND,0
GOA,0
ASSAM,0
PUDUCHERRY,0
HIMACHAL PRADESH,0
ANDAMAN AND NICOBAR ISLANDS,0
CHANDIGARH,0
TAMIL NADU,0
NAGALAND,0
HARYANA,0
MANIPUR,0
SIKKIM,0
JAMMU AND KASHMIR,0
ANDHRA PRADESH,0
MEGHALAYA,0
TRIPURA,0
WEST BENGAL,0
ARUNACHAL PRADESH,0
TELANGANA,0
CHHATTISGARH,0
KARNATAKA,0
JHARKHAND,0
ODISHA,0
LAKSHADWEEP,0
