Month,BHARTI INFRATEL LTD.18ER,HERO MOTOCORP LTD.18ER,POWER GRID CORPORATION OF INDIA LTD.18ER,MARUTI SUZUKI INDIA LTD.18ER,ASIAN PAINTS LTD.17ER,AXIS BANK LTD.17ER,BHARTI INFRATEL LTD.17ER,HERO MOTOCORP LTD.17ER,BHARTI AIRTEL LTD.17ER,MARUTI SUZUKI INDIA LTD.17ER,ASIAN PAINTS LTD.16ER,SUN PHARMACEUTICAL INDUSTRIES LTD.16ER,HERO MOTOCORP LTD.16ER,HCL TECHNOLOGIES LTD.16ER,MARUTI SUZUKI INDIA LTD.16ER,ASIAN PAINTS LTD.15ER,RELIANCE INDUSTRIES LTD.15ER,BHARTI INFRATEL LTD.15ER,HERO MOTOCORP LTD.15ER,POWER GRID CORPORATION OF INDIA LTD.15ER,BHARTI AIRTEL LTD.15ER,HCL TECHNOLOGIES LTD.15ER,MARUTI SUZUKI INDIA LTD.15ER,ASIAN PAINTS LTD.14ER,HERO MOTOCORP LTD.14ER,POWER GRID CORPORATION OF INDIA LTD.14ER,NESTLE INDIA LTD.14ER,BHARTI AIRTEL LTD.14ER,HCL TECHNOLOGIES LTD.14ER,MARUTI SUZUKI INDIA LTD.14ER,meanER
January-2018,7.06,2.5,3.42,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
February-2018,1.1,2.47,-2.56,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94
March-2018,3.14,1.53,2.32,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78
April-2018,6.75,-5.31,-7.12,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3
May-2018,4.99,4.99,-0.63,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15
June-2018,-1.17,2.12,10.67,-3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07
July-2018,5.08,5.13,2.38,-7.77,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
August-2018,-0.47,1.24,-10.1,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.26
September-2018,8.82,9.87,6.06,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,10.99
October-2018,-2.58,5.69,1.46,10.09,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66
November-2018,4.59,-10.6,3.02,-15.97,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.74
December-2018,-1.23,-1.55,-10.49,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.66
January-2017,,,,,-8.91,-3.53,14.55,-4.42,-13.93,-10.77,,,,,,,,,,,,,,,,,,,,,-4.5
February-2017,,,,,-5.53,-8.64,3.1,1.39,-4.96,-0.45,,,,,,,,,,,,,,,,,,,,,-2.52
March-2017,,,,,-4.56,3.03,-14.37,-2.83,4.16,-1.71,,,,,,,,,,,,,,,,,,,,,-2.71
April-2017,,,,,-4.52,-3.83,-9.02,-2.69,-1.33,-8.32,,,,,,,,,,,,,,,,,,,,,-4.95
May-2017,,,,,-2.95,-0.9,-3.66,-13.05,-4.85,-10.56,,,,,,,,,,,,,,,,,,,,,-6.0
June-2017,,,,,4.2,-0.37,-1.82,1.23,-1.98,-0.04,,,,,,,,,,,,,,,,,,,,,0.2
July-2017,,,,,-5.01,-0.53,-7.26,1.15,-10.19,-6.79,,,,,,,,,,,,,,,,,,,,,-4.77
August-2017,,,,,-0.75,3.51,5.96,-9.41,-2.41,0.07,,,,,,,,,,,,,,,,,,,,,-0.51
September-2017,,,,,4.37,-1.63,-5.43,5.43,9.16,-3.51,,,,,,,,,,,,,,,,,,,,,1.4
October-2017,,,,,-5.7,-2.8,-10.97,-1.95,-28.05,-3.06,,,,,,,,,,,,,,,,,,,,,-8.76
November-2017,,,,,2.79,-2.48,13.3,5.51,0.16,-4.69,,,,,,,,,,,,,,,,,,,,,2.43
December-2017,,,,,-0.88,-4.93,1.44,-3.95,-6.55,-13.12,,,,,,,,,,,,,,,,,,,,,-4.66
January-2016,,,,,,,,,,,1.7,-6.47,4.91,-1.23,11.22,,,,,,,,,,,,,,,,2.03
February-2016,,,,,,,,,,,2.34,2.06,2.46,6.19,20.86,,,,,,,,,,,,,,,,6.78
March-2016,,,,,,,,,,,-2.37,4.16,-17.75,-0.22,-14.69,,,,,,,,,,,,,,,,-6.17
April-2016,,,,,,,,,,,0.07,0.99,1.43,7.82,-2.04,,,,,,,,,,,,,,,,1.65
May-2016,,,,,,,,,,,-13.36,5.99,-6.82,1.41,-9.83,,,,,,,,,,,,,,,,-4.52
June-2016,,,,,,,,,,,-1.99,-0.12,-2.64,1.26,-0.41,,,,,,,,,,,,,,,,-0.78
July-2016,,,,,,,,,,,-11.06,-8.66,-0.8,-3.0,-13.62,,,,,,,,,,,,,,,,-7.43
August-2016,,,,,,,,,,,-4.0,6.62,-10.64,-3.55,-6.26,,,,,,,,,,,,,,,,-3.57
September-2016,,,,,,,,,,,-0.25,4.15,3.75,-2.64,-8.44,,,,,,,,,,,,,,,,-0.69
October-2016,,,,,,,,,,,7.46,-0.75,1.75,3.97,-7.66,,,,,,,,,,,,,,,,0.95
November-2016,,,,,,,,,,,9.81,5.07,5.53,-4.53,10.77,,,,,,,,,,,,,,,,5.33
December-2016,,,,,,,,,,,8.09,11.34,3.92,-3.06,-1.13,,,,,,,,,,,,,,,,3.83
