Month,HCL TECHNOLOGIES LTD.18ER,SHREE CEMENT LTD.18ER,BAJAJ FINSERV LTD.17ER,BRITANNIA INDUSTRIES LTD.17ER,POWER GRID CORPORATION OF INDIA LTD.17ER,SHREE CEMENT LTD.17ER,HINDUSTAN UNILEVER LTD.16ER,BRITANNIA INDUSTRIES LTD.16ER,HERO MOTOCORP LTD.16ER,POWER GRID CORPORATION OF INDIA LTD.16ER,NTPC LTD.16ER,BHARTI AIRTEL LTD.16ER,SHREE CEMENT LTD.16ER,KOTAK MAHINDRA BANK LTD.15ER,HINDUSTAN UNILEVER LTD.15ER,BRITANNIA INDUSTRIES LTD.15ER,POWER GRID CORPORATION OF INDIA LTD.15ER,NTPC LTD.15ER,SHREE CEMENT LTD.15ER,HDFC BANK LTD14ER,BRITANNIA INDUSTRIES LTD.14ER,POWER GRID CORPORATION OF INDIA LTD.14ER,NTPC LTD.14ER,SHREE CEMENT LTD.14ER,meanER
January-2018,-10.67,4.58,,,,,,,,,,,,,,,,,,,,,,,-3.04
February-2018,4.6,3.11,,,,,,,,,,,,,,,,,,,,,,,3.85
March-2018,-3.11,2.98,,,,,,,,,,,,,,,,,,,,,,,-0.06
April-2018,-8.45,-4.1,,,,,,,,,,,,,,,,,,,,,,,-6.28
May-2018,13.39,0.05,,,,,,,,,,,,,,,,,,,,,,,6.72
June-2018,-1.79,7.6,,,,,,,,,,,,,,,,,,,,,,,2.9
July-2018,-4.09,-9.69,,,,,,,,,,,,,,,,,,,,,,,-6.89
August-2018,-8.46,-11.11,,,,,,,,,,,,,,,,,,,,,,,-9.78
September-2018,-3.98,11.2,,,,,,,,,,,,,,,,,,,,,,,3.61
October-2018,3.43,17.46,,,,,,,,,,,,,,,,,,,,,,,10.44
November-2018,3.46,-18.57,,,,,,,,,,,,,,,,,,,,,,,-7.56
December-2018,5.11,-4.47,,,,,,,,,,,,,,,,,,,,,,,0.32
January-2017,,,-11.96,-8.5,-12.59,-5.13,,,,,,,,,,,,,,,,,,,-9.54
February-2017,,,-22.33,-3.26,7.04,-3.94,,,,,,,,,,,,,,,,,,,-5.62
March-2017,,,-3.12,-4.76,-2.71,-5.78,,,,,,,,,,,,,,,,,,,-4.09
April-2017,,,-11.76,-7.23,-5.27,-13.18,,,,,,,,,,,,,,,,,,,-9.36
