meanHQ,Month,BOSCH LTD.HQ,WIPRO LTD.HQ,INFOSYS LTD.HQ,TITAN COMPANY LIMITED18ER,VEDANTA LIMITED18ER,JSW STEEL LTD.18ER,BAJAJ FINSERV LTD.18ER,KOTAK MAHINDRA BANK LTD.18ER,BRITANNIA INDUSTRIES LTD.18ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.18ER,SHREE CEMENT LTD.18ER,TITAN COMPANY LIMITED17ER,VEDANTA LIMITED17ER,JSW STEEL LTD.17ER,TECH MAHINDRA LTD.17ER,AVENUE SUPERMARTS LTD17ER,BAJAJ FINSERV LTD.17ER,BAJAJ FINANCE LIMITED17ER,KOTAK MAHINDRA BANK LTD.17ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.17ER,BRITANNIA INDUSTRIES LTD.17ER,NESTLE INDIA LTD.17ER,HCL TECHNOLOGIES LTD.17ER,TITAN COMPANY LIMITED16ER,VEDANTA LIMITED16ER,JSW STEEL LTD.16ER,BHARAT PETROLEUM CORPORATION LTD.16ER_x,BAJAJ FINSERV LTD.16ER,BAJAJ FINANCE LIMITED16ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.16ER,BRITANNIA INDUSTRIES LTD.16ER,AXIS BANK LTD.16ER_x,NESTLE INDIA LTD.16ER,TITAN COMPANY LIMITED15ER,VEDANTA LIMITED15ER,JSW STEEL LTD.15ER,TECH MAHINDRA LTD.15ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.15ER,NESTLE INDIA LTD.15ER,TITAN COMPANY LIMITED14ER,VEDANTA LIMITED14ER,JSW STEEL LTD.14ER,BRITANNIA INDUSTRIES LTD.14ER,NESTLE INDIA LTD.14ER,HINDUSTAN ZINC LTD.14ER,meanER_x,SBI LIFE INSURANCE COMPANY LTD18ER,BHARAT PETROLEUM CORPORATION LTD.18ER,NTPC LTD.18ER,BHARAT PETROLEUM CORPORATION LTD.17ER,NTPC LTD.17ER,BHARAT PETROLEUM CORPORATION LTD.16ER_y,STATE BANK OF INDIA16ER,AXIS BANK LTD.16ER_y,NTPC LTD.16ER,BHARAT PETROLEUM CORPORATION LTD.15ER,NTPC LTD.15ER,BHARAT PETROLEUM CORPORATION LTD.14ER,STATE BANK OF INDIA14ER,NTPC LTD.14ER,BHARTI AIRTEL LTD.14ER,meanER_y
-3.88,February-2014,-4.58,-3.79,-3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.32,5.78,4.73,-0.47,3.86,9.85,2.4,,,,,,,,,,,,-3.86,-0.4,10.92,8.77,3.86
2.44,March-2014,-15.93,9.07,14.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.36,-5.83,-18.48,4.94,-3.27,-9.98,-6.83,,,,,,,,,,,,-21.89,-25.24,-6.53,-10.92,-16.14
3.37,April-2014,3.22,3.8,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,1.52,-4.56,-2.32,4.72,-0.23,0.34,,,,,,,,,,,,1.37,-8.37,3.08,-2.74,-1.66
-2.16,May-2014,-17.17,3.26,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.98,-51.0,-11.95,-1.95,-3.49,-22.15,-18.75,,,,,,,,,,,,-14.88,-22.27,-37.51,-4.99,-19.91
-9.42,June-2014,-9.99,-7.91,-10.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.48,-4.51,-2.11,-14.45,-0.15,-6.11,-6.8,,,,,,,,,,,,-14.92,-5.67,2.47,2.06,-4.02
-0.77,July-2014,1.12,0.24,-3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,0.6,4.67,-13.63,-3.62,3.12,-0.93,,,,,,,,,,,,3.1,9.16,6.99,-10.6,2.16
-7.16,August-2014,-10.69,-4.0,-6.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.42,4.55,-5.61,-8.92,-17.04,-2.38,-5.97,,,,,,,,,,,,-19.56,-0.85,5.03,0.78,-3.65
-3.69,September-2014,-1.32,-5.47,-4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.32,1.66,7.08,-12.09,0.32,2.75,-2.1,,,,,,,,,,,,5.88,0.74,-0.69,-9.35,-0.86
-0.6,October-2014,0.8,5.52,-8.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54,6.16,-8.97,-9.61,-4.31,-6.81,-3.33,,,,,,,,,,,,-10.82,-10.62,-8.15,1.47,-7.03
-12.93,November-2014,-27.28,-3.91,-7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89,9.56,4.66,-7.73,0.18,4.89,2.91,,,,,,,,,,,,-2.99,88.1,4.9,4.1,23.53
